paper_name,authors,doi,topic
"The link between intellectual property rights, innovation, and growth: A meta-analysis",Pedro Cunha Neves; Oscar Afonso; Diana Silva; Elena Sochirca,https://doi.org/10.1016/j.econmod.2021.01.019,constitutionalism-courts-rule-of-law
"Taxpayer Apathy, Institutional Inertia, and Economic Growth",James M. Buchanan,https://doi.org/10.1332/251569299x15668906480810,institutions-civil-society-public-service
"Knowledge obsolescence, human capital inequality, and growth: A network perspective in an automated knowledge society",Philipp Tobias Hohn; Torben Klarl,https://doi.org/10.1016/j.econmod.2025.107416,institutions-civil-society-public-service
"Income Inequality, Human Capital Accumulation and Economic Performance",W. H. Chiu,https://doi.org/10.1111/1468-0297.00272,institutions-civil-society-public-service
"Dynastic Human Capital, Inequality, and Intergenerational Mobility",Adrian Adermon; Mikael Lindahl; Mårten Palme,https://doi.org/10.1257/aer.20190553,institutions-civil-society-public-service
The causal effects of rule of law & property rights on fiscal capacity,Robin Grier; Andrew T. Young; Kevin Grier,https://doi.org/10.1016/j.ejpoleco.2021.102169,constitutionalism-courts-rule-of-law
Investor Protection and Firm Liquidity,Paul Brockman; Dennis Y. Chung,https://doi.org/10.1111/1540-6261.00551,institutions-civil-society-public-service
Optimum share of public and private sectors in property rights protection: An augmented endogenous growth model,Ali Hussein Samadi; Ali Hussein Ostadzad,https://doi.org/10.1016/j.econmod.2013.05.026,constitutionalism-courts-rule-of-law
Does Balance Among Areas of Institutional Quality Matter for Economic Growth?,J. Brandon Bolen; Russell S. Sobel,https://doi.org/10.1002/soej.12428,institutions-civil-society-public-service
"Property rights, fiscal capacity, and social capacity: The lasting impact of the Taiping Rebellion",Weizheng Lai; Lixin Colin Xu; Li Yang,https://doi.org/10.1007/s10887-025-09264-4,constitutionalism-courts-rule-of-law
Property and contract rights in autocracies and democracies,Christopher Clague; Philip Keefer; Stephen Knack; Mancur Olson,https://doi.org/10.1007/bf00138864,institutions-civil-society-public-service
Institutions and Development: The Interaction Between Trade Regime and Political System,Josef Falkinger; Volker Grossmann,https://doi.org/10.1007/s10887-005-3534-4,institutions-civil-society-public-service
Legal Investor Protection and Takeovers,MIKE BURKART; DENIS GROMB; HOLGER M. MUELLER; FAUSTO PANUNZI,https://doi.org/10.1111/jofi.12142,constitutionalism-courts-rule-of-law
"Political Regimes, Economic Freedom, Institutions and Growth",Abdiweli M. Ali; W. Mark Crain,https://doi.org/10.1332/251569201x15668905707096,institutions-civil-society-public-service
The world income distribution: the effects of international unbundling of production,Sergi Basco; Martí Mestieri,https://doi.org/10.1007/s10887-019-09164-4,institutions-civil-society-public-service
"Intellectual property rights, multinational firms and economic growth",Elias Dinopoulos; Paul Segerstrom,https://doi.org/10.1016/j.jdeveco.2009.01.007,constitutionalism-courts-rule-of-law
Does democracy facilitate economic growth or does economic growth facilitate democracy? An empirical study of Sub-Saharan Africa,Paresh Kumar Narayan; Seema Narayan; Russell Smyth,https://doi.org/10.1016/j.econmod.2010.11.004,democratic-backsliding-populism
"Redistribution, inequality, and growth: new evidence",Andrew Berg; Jonathan D. Ostry; Charalambos G. Tsangarides; Yorbol Yakhshilikov,https://doi.org/10.1007/s10887-017-9150-2,institutions-civil-society-public-service
The impact of the Interaction between institutional quality and aid volatility on growth: theory and evidence,Jay Kathavate; Girijasankar Mallik,https://doi.org/10.1016/j.econmod.2012.01.020,institutions-civil-society-public-service
Unbundling institutions: the case for meso-institutions,Claude Ménard; Gaetano Martino,https://doi.org/10.1017/s1744137425100192,institutions-civil-society-public-service
Institutional Quality and Economic Growth: A Dynamic Panel Data Analysis of MICs and HICs for 2000–2020,Mirwais Parsa; Soumya Datta,https://doi.org/10.1080/10168737.2023.2261012,institutions-civil-society-public-service
"Public Capital and Economic Growth: Issues of Quantity, Finance, and Efficiency",David Alan Aschauer,https://doi.org/10.1086/452464,institutions-civil-society-public-service
Investor Protection and Corporate Valuation,Rafael La Porta; Florencio Lopez‐De‐Silanes; Andrei Shleifer; Robert Vishny,https://doi.org/10.1111/1540-6261.00457,institutions-civil-society-public-service
"State capacity, economic output, and public goods in China",Hua Cheng; Kishore Gawande; Shusen Qi,https://doi.org/10.1016/j.worlddev.2022.105990,institutions-civil-society-public-service
Does corruption matter for stock markets? The role of heterogeneous institutions,Geeta Lakshmi; Shrabani Saha; Keshab Bhattarai,https://doi.org/10.1016/j.econmod.2020.10.011,institutions-civil-society-public-service
Relating rule of law and budgetary allocation for tourism: Does per capita income growth make a difference for Indian states?,Nabamita Dutta; Saibal Kar,https://doi.org/10.1016/j.econmod.2017.12.017,constitutionalism-courts-rule-of-law
"Economic growth, corruption and tax evasion",Roy Cerqueti; Raffaella Coppier,https://doi.org/10.1016/j.econmod.2010.07.006,institutions-civil-society-public-service
"Law, Finance, and Economic Growth in China: An Introduction",Yang Yao; Linda Yueh,https://doi.org/10.1016/j.worlddev.2008.07.009,constitutionalism-courts-rule-of-law
The role of intellectual property rights in economic growth,David M. Gould; William C. Gruben,https://doi.org/10.1016/0304-3878(95)00039-9,constitutionalism-courts-rule-of-law
"Warfare, fiscal capacity, and performance",Mark Dincecco; Mauricio Prado,https://doi.org/10.1007/s10887-012-9079-4,institutions-civil-society-public-service
Democracy and Growth: Alternative Approaches,Jenny A. Minier,https://doi.org/10.1023/a:1009714821770,democratic-backsliding-populism
"Corruption and growth: The role of governance, public spending, and economic development",Ratbek Dzhumashev,https://doi.org/10.1016/j.econmod.2013.11.007,institutions-civil-society-public-service
Unbundling the roles of human capital and institutions in economic development,Hugo J. Faria; Hugo M. Montesinos-Yufa; Daniel R. Morales; Carlos E. Navarro,https://doi.org/10.1016/j.ejpoleco.2016.08.006,institutions-civil-society-public-service
Political and Economic Inequities and the Shaping of Institutions and Redistribution,Alberto Chong; Mark Gradstein,https://doi.org/10.1002/soej.12206,institutions-civil-society-public-service
Does corruption impede economic growth in Pakistan?,Abdul Farooq; Muhammad Shahbaz; Mohamed Arouri; Frédéric Teulon,https://doi.org/10.1016/j.econmod.2013.08.019,institutions-civil-society-public-service
"Economic growth, corruption, and financial development: Global evidence",Chang-Qing Song; Chun-Ping Chang; Qiang Gong,https://doi.org/10.1016/j.econmod.2020.02.022,institutions-civil-society-public-service
Colonial origins and quality of education evidence from cameroon,Yasmine Bekkouche; Yannick Dupraz,https://doi.org/10.1016/j.worlddev.2023.106245,institutions-civil-society-public-service
"Credit constraints, selection and productivity growth",Giammario Impullitti,https://doi.org/10.1016/j.econmod.2022.105797,institutions-civil-society-public-service
Reversal of Fortune: Geography and Institutions in the Making of the Modern World Income Distribution,D. Acemoglu; S. Johnson; J. A. Robinson,https://doi.org/10.1162/003355302320935025,institutions-civil-society-public-service
Institutions and concentration,Todd Mitton,https://doi.org/10.1016/j.jdeveco.2007.10.001,institutions-civil-society-public-service
"The Rule of Law, Collective Action, and Growth: Micro Evidence from Peru",Philip Keefer; Mauricio Espinoza; Álvaro Espinoza; Ricardo Fort,https://doi.org/10.1086/737869,constitutionalism-courts-rule-of-law
Forms of democracy and economic growth volatility,Clément Mathonnat; Alexandru Minea,https://doi.org/10.1016/j.econmod.2018.07.013,democratic-backsliding-populism
Economic Growth and Political Regimes,J. Benson Durham,https://doi.org/10.1023/a:1009830709488,institutions-civil-society-public-service
Endogenous enforcement institutions,Gani Aldashev; Giorgio Zanarone,https://doi.org/10.1016/j.jdeveco.2017.05.002,institutions-civil-society-public-service
Does democracy cause gender equality?,Thomas Barnebeck Andersen,https://doi.org/10.1017/s1744137422000236,democratic-backsliding-populism
"Credit constraints, growth and inequality dynamics",Yoseph Yilma Getachew,https://doi.org/10.1016/j.econmod.2016.01.005,institutions-civil-society-public-service
Financial institutions and technology policy,V.V. Bhatt,https://doi.org/10.1016/0305-750x(80)90007-8,institutions-civil-society-public-service
Growth effects of institutions: A disaggregated analysis,Saima Nawaz,https://doi.org/10.1016/j.econmod.2014.11.017,institutions-civil-society-public-service
Economic behavior and institutions,Shawn Everett Kantor,https://doi.org/10.1016/0304-3878(93)90082-x,institutions-civil-society-public-service
Institutions and government controls,Hadi Salehi Esfahani,https://doi.org/10.1016/s0304-3878(00)00119-x,institutions-civil-society-public-service
Does longevity cause growth? A theoretical critique,Moshe Hazan; Hosny Zoabi,https://doi.org/10.1007/s10887-006-9008-5,institutions-civil-society-public-service
"Tax evasion, tax corruption and stochastic growth",Fred Célimène; Gilles Dufrénot; Gisèle Mophou; Gaston N'Guérékata,https://doi.org/10.1016/j.econmod.2014.10.055,institutions-civil-society-public-service
Political Institutions and Financial Development: An Empirical Study,Yongfu Huang,https://doi.org/10.1016/j.worlddev.2010.04.001,institutions-civil-society-public-service
Do remittances improve political institutions? Evidence from Sub-Saharan Africa,Kevin Williams,https://doi.org/10.1016/j.econmod.2016.12.004,institutions-civil-society-public-service
